"run","uplandAmount","costPromotiveDecRate","costDemotiveRes","disturbanceDelay","infert","costDemotiveDecRate","costPromotiveIncRate","fecundityPromotiveIncRate","obTargetID","obSourceID","fecundityPromotiveRes","trafficPromotiveLongCoefficient","observedType","costDemotiveMax","fecundityPromotiveMax","importsCoefficient","trafficPromotiveShortCoefficient","importsYIntercept","trafficDemotiveLongCoefficient","fecundityDemotiveIncRate","costPromotiveRes","fecundityDemotiveDecRate","fecundityDemotiveMax","fecundityDemotiveRes","costPromotiveMax","randomSeed","fecundityPromotiveDecRate","trafficDemotiveShortCoefficient","costDemotiveIncRate","disturbanceRemovalChance"
1,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,1744058560,0.1,2.0,0.1,0.15
2,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,1744058560,0.1,2.0,0.1,0.15
3,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,1744058560,0.1,2.0,0.1,0.15
4,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,1744058560,0.1,2.0,0.1,0.15
5,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,1744058560,0.1,2.0,0.1,0.15
6,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,1744058560,0.1,2.0,0.1,0.15
7,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,1744058560,0.1,2.0,0.1,0.15
8,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,1744058560,0.1,2.0,0.1,0.15
9,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,1744058560,0.1,2.0,0.1,0.15
10,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,1744058560,0.1,2.0,0.1,0.15
11,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,1744058560,0.1,2.0,0.1,0.15
12,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,1744058560,0.1,2.0,0.1,0.15
13,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,1744058560,0.1,2.0,0.1,0.15
14,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,1744058560,0.1,2.0,0.1,0.15
15,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,1744058560,0.1,2.0,0.1,0.15
16,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,1744058560,0.1,2.0,0.1,0.15
17,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,1744058560,0.1,2.0,0.1,0.15
18,130,1.0,0.5,0,15,1.0,0.1,0.005,271,288,0.5,0.1,"bajo",20.0,20.0,-0.15,1.0,15.0,0.0,3.0E-4,0.5,0.1,10.0,0.5,0.5,1744058560,0.1,2.0,0.1,0.15
